	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__estimator__l1_ratio	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.35086483324841816	4	0.6811610624632548	0.011176724633638798	median	-2.4713031304501247	-2.5409901224855576	-5.225532900922566	-2.9853234833847915	-2.8724087573668164	-3.2191116789219714	1.0217291643829185	24
1	10	0.2240103954190444	15	0.3382182312670091	0.0010879532097768615	1.5*mean	-2.5515317781349465	-2.6056496658596724	-5.231542555004453	-2.9576920885563687	-2.955278172148061	-3.2603388519407006	1.0001326430992366	46
2	3	0.3645771768102103	13	0.327203054878015	0.03561676986796345	0.5*median	-2.5384236072492996	-2.567542756481504	-5.234323433925942	-3.02646091721364	-2.8688720830028056	-3.247124559574638	1.010427158407571	37
3	15	0.14097755086765734	6	0.6408502835418209	0.0040198803921612965	mean	-2.4383814232272063	-2.480965418564673	-5.240815235357098	-2.998437170267947	-2.877169411108096	-3.2071537317050045	1.0398645772136186	19
4	14	0.15071736890545592	3	0.2668888514229388	0.018284864926707008	1.5*mean	-2.4073771242250745	-2.582445162465417	-5.2352786524151185	-2.9103908000365184	-2.792262343471283	-3.1855508165226825	1.0393328421906036	7
5	12	0.20592817380652303	4	0.5120401547574486	0.034627372174852615	mean	-2.479490335864632	-2.4932072601877167	-5.225129096041551	-2.9338887558363207	-2.8624348037734104	-3.1988300503407263	1.0300093806233703	12
6	3	0.13905396264232314	13	0.3188839091674411	0.012546262714556685	0.5*mean	-2.5204209644799924	-2.609345734677625	-5.234593706675211	-3.024504925551251	-2.8987610909601558	-3.257525284468847	1.0055117391272337	44
7	12	0.38519402698726474	8	0.2963906271036814	0.02077916380472474	1.5*median	-2.4995785651446454	-2.531910083914729	-5.230154105963814	-2.9865197070896405	-2.9056540838389435	-3.2307633091903547	1.0184244168519794	30
8	7	0.20726388123892264	4	0.29498839522091125	0.004472461094427002	0.5*median	-2.478856263231007	-2.5109307941368297	-5.240815069074252	-2.950560631420397	-2.8442622104685618	-3.205084993666209	1.0342563408948253	17
9	7	0.20085986865131003	6	0.5404880206230628	0.006165315933280709	0.5*mean	-2.536441564033933	-2.5546478077034553	-5.22835997685397	-2.9442072420986554	-2.814411067198835	-3.2156135315777705	1.0182262316399628	21
10	6	0.19864528241641374	4	0.27670530642694635	0.008558057251902867	1.5*mean	-2.457588655853531	-2.554234104060764	-5.225755698974923	-2.8808724673082247	-2.7695334070720943	-3.177596866653907	1.0350370733490886	5
11	14	0.3132170554574792	13	0.4715358483594447	0.04955757430302261	1.5*mean	-2.5072481741891117	-2.549772497451319	-5.231887884748697	-2.917558064906565	-2.906406013754901	-3.2225745270101185	1.0192832876618263	26
12	8	0.46431357076533974	4	0.4510189819453671	0.01917013834539466	0.5*mean	-2.3883689999858655	-2.516140656529818	-5.23048793211585	-2.9268275988540604	-2.7827969317982575	-3.1689244238567706	1.048154838562045	4
13	13	0.12600613040188136	16	0.5789190006291788	0.012213262264573482	0.5*median	-2.5926056566377973	-2.619939342592696	-5.234846267740994	-3.0288544306071206	-2.965920944115963	-3.2884333283389138	0.9890378284454575	56
14	15	0.23563607705732612	9	0.22544572509907854	0.06890984677589347	1.5*median	-2.447381029389323	-2.5720765467465148	-5.226711219892341	-2.9689352700120897	-2.887028457981329	-3.22042650480432	1.0215221419011613	25
15	15	0.2999255356889662	18	0.3002893344148419	0.004912164589842701	1.5*mean	-2.5697381992340422	-2.6173634647450967	-5.231517982715729	-3.0063769832025264	-2.9150095166547683	-3.268001229310433	0.9959266234124305	49
16	12	0.19498620816502324	1	0.527993441190269	0.06800156234089291	1.5*mean	-2.3435797210460727	-2.4727579549957426	-5.229347747713207	-2.849429170096241	-2.7589311170232698	-3.1308091421749062	1.0652787203029122	1
17	9	0.20987792417754023	11	0.607820803709889	0.035727969427443315	0.5*mean	-2.421720628197309	-2.5509772353022786	-5.23854513014481	-3.065944959272326	-2.8704341245176845	-3.229524415486881	1.0300331588822078	29
18	4	0.1464241533546372	18	0.5990388631277325	0.004328923642541491	1.5*mean	-2.5617648862750935	-2.5802981726520087	-5.246047000582703	-3.03613786482491	-2.9698567045556006	-3.2788209257780627	1.002640093740815	53
19	9	0.3605055951824314	10	0.5740289400099701	0.06460865372816738	1.5*mean	-2.3855247328300377	-2.51443437366356	-5.22315941407304	-2.9783434976915757	-2.9145657437769246	-3.203205552407028	1.0350939228309743	16
20	12	0.2221779954105303	2	0.3622813147728513	0.14831990926148078	1.5*mean	-2.4077137391795946	-2.4060099360116647	-5.210551822517978	-2.923152314321171	-2.764949151145922	-3.142475392635266	1.0535487508150143	3
21	11	0.10691983530377892	13	0.20179779824724572	0.009268801472788891	1.5*median	-2.538524822259	-2.5904864932554803	-5.249684423979126	-2.9923938028698043	-2.912476448710033	-3.256713198214689	1.0119239650239236	43
22	13	0.10934337832493325	16	0.554011152026331	0.008488041258219373	1.5*mean	-2.565383132902351	-2.6059390811078855	-5.23789587649999	-3.0770390406812544	-2.9678619987586794	-3.2908238259900324	0.9936225801696541	57
23	3	0.13489866239698892	14	0.26693158303629666	0.03286572700778393	median	-2.591891378576934	-2.6254349303065143	-5.2373514039065885	-3.0615340567572673	-2.8932674481868266	-3.281895843546826	0.9930201294626185	55
24	11	0.24012075472312525	15	0.24732182152416177	0.06308629779901435	0.5*mean	-2.4818410772695283	-2.544340914171623	-5.240439723031486	-2.966047731936567	-2.9144834259594394	-3.229430574473729	1.0238122799289053	28
25	3	0.14261938838836344	19	0.5427824064461668	0.1753176563263784	0.5*median	-2.5986689983518105	-2.5920560329243996	-5.245111423667243	-3.1072633769221936	-2.9282397477485778	-3.2942679159228447	0.9951579866496115	58
26	4	0.13127939632598612	17	0.6865091681046406	0.027196690633957504	median	-2.5537998861847493	-2.5580389424657097	-5.241655184568706	-3.094300697587852	-2.948535679167392	-3.279266077994882	1.0040951718577706	54
27	8	0.4325574132738056	19	0.5767070798566092	0.00243897037499974	1.5*mean	-2.4995372867523726	-2.530526363563294	-5.234816274283313	-3.0021711521330117	-2.958016831523218	-3.2450135816510417	1.0165511523609034	35
28	13	0.4573151224891289	9	0.24583689730697403	0.0012071266710731408	1.5*mean	-2.4908129900495677	-2.550709468634112	-5.22085982243382	-2.893988288318207	-2.9246839290154005	-3.2162108996902212	1.0174995795002637	22
29	6	0.23407687229868582	8	0.44504603968082607	0.09672368567442034	1.5*mean	-2.375508487868211	-2.5292149138698448	-5.238586025057408	-2.9421476008771283	-2.8632655242029537	-3.1897445103751094	1.0454591296170186	8
30	3	0.10380287248455582	10	0.30149196532232364	0.0016876414386549758	0.5*median	-2.5704804912691177	-2.593659221308091	-5.235940903634237	-2.997921014684782	-2.8993839180849146	-3.2594771097962285	1.002249233168269	45
31	8	0.17045460993125156	10	0.29095343692084435	0.0012293859168414363	1.5*mean	-2.509089169208106	-2.571231135196078	-5.223441445572457	-2.935056200425574	-2.9468524833863525	-3.237134086757713	1.009396604434219	31
32	8	0.24291210887374587	18	0.3062316176274142	0.0036218102608722414	mean	-2.5294029405905176	-2.5820676348194054	-5.236620167665688	-3.0521697063562403	-2.9321619090813416	-3.2664844717026384	1.0050723998943358	48
33	10	0.4031318788253697	19	0.5967584271687965	0.0011350149453125897	1.5*median	-2.5679029215541105	-2.5659454533744523	-5.225272688201195	-3.0286119294135765	-2.971659760175254	-3.2718785505437182	0.995889738070564	52
34	6	0.24091995912566405	4	0.47686467594730075	0.003105033256665233	median	-2.4615017229138787	-2.4985174839420288	-5.2360097098847875	-3.0332186780404773	-2.844868709153212	-3.2148232607868765	1.0330177696565166	20
35	14	0.32897504561088636	7	0.3376794223262855	0.0026146689555807483	1.5*median	-2.4990665385943402	-2.565041723464909	-5.212186063580673	-2.9350411278256465	-2.7888649469797167	-3.2000400800890576	1.0180970201764314	13
36	15	0.16657282971394125	17	0.4741471014667022	0.020867722033626596	1.5*mean	-2.5068291843203716	-2.5885402952896683	-5.245418653923267	-3.004917203981288	-2.899342344898885	-3.2490095364826956	1.015337271014298	38
37	14	0.18824737910754666	2	0.6322230363870981	0.08043927409283826	0.5*mean	-2.3669470059114643	-2.4465683779821736	-5.237397121780821	-2.882449749784365	-2.7554193817724295	-3.13775632744625	1.0669341353155581	2
38	15	0.18124230302467964	12	0.26928445927503836	0.14597205457182066	0.5*mean	-2.50746208696267	-2.5883475566969287	-5.236549979038259	-3.0086758544226524	-2.879953748438654	-3.244197845111833	1.0129689604099597	34
39	12	0.10868719720756718	6	0.45158971680043675	0.023471564964545322	1.5*median	-2.4979110884548237	-2.520084332802892	-5.240262926682884	-3.0067551414836746	-2.857860158762676	-3.22457472963739	1.026573974327474	27
40	3	0.33159609418250635	15	0.2015535987078746	0.0507781683365769	0.5*mean	-2.5314528962345957	-2.569585888946204	-5.232475281337592	-2.917612276485457	-2.9627831330368606	-3.2427818952081418	1.0101679232872836	33
41	15	0.4086949242541028	17	0.6771220309713165	0.15789412831875665	1.5*median	-2.5082355667693026	-2.5573642020816174	-5.233194465806299	-3.0400009547414966	-2.936172526376654	-3.2549935431550745	1.0104931189288635	41
42	12	0.2599768556116083	8	0.24083101968221823	0.0030054747949895292	1.5*median	-2.4950776250396425	-2.557539076473593	-5.219006013189899	-2.9028436345479784	-2.8515438037207597	-3.205202030594374	1.0193767895059858	18
43	9	0.15382819926340047	10	0.25312268649473	0.005104138379199898	0.5*median	-2.4707115687137207	-2.5316681256021476	-5.2399363426421415	-2.9768476367525816	-2.870264417084771	-3.217885618159072	1.0292514219135225	23
44	8	0.26098794997807173	1	0.35127041945134735	0.00788181958776806	0.5*median	-2.4748436857165226	-2.458674586614583	-5.2048930639936515	-2.9557546235559164	-2.8618400614586683	-3.191201204267869	1.026511773010229	9
45	14	0.11835594035562252	14	0.5132130877832274	0.1436112884050593	1.5*median	-2.5246165334309603	-2.574686629316427	-5.242000892005267	-3.058801470943123	-2.8823293319756003	-3.256486971534276	1.0121091907087985	42
46	6	0.34828180707309725	14	0.5637994009777336	0.02168804853268652	median	-2.5232394336356063	-2.6018529830088806	-5.225667778647177	-3.0194101840768126	-2.9369518159842998	-3.261424439070555	1.0002056676228228	47
47	11	0.2284240047815102	11	0.407921931313051	0.18546964100234123	0.5*mean	-2.41204695183192	-2.5222897681414578	-5.234374162928955	-2.962602974242526	-2.853944561948253	-3.1970516838186223	1.0387403574019993	11
48	10	0.2986330148892979	14	0.5696154256592584	0.0016927842518084345	0.5*median	-2.5573534298069847	-2.535017235805884	-5.23078279632066	-2.990584594878129	-2.9454620174425075	-3.2518400148508335	1.0074207579215524	39
49	15	0.16482625397882705	18	0.6100553834917599	0.0029395433220973746	mean	-2.54995040009779	-2.6209851044424854	-5.238906420336693	-3.026507859744162	-2.9228753985802403	-3.2718450366402743	0.999605036351267	51
50	12	0.10965249575981548	12	0.38286878569449817	0.048752274696094736	mean	-2.5222321586541407	-2.554248089919795	-5.245138935085801	-3.0398583740329124	-2.979686706292536	-3.268232852797037	1.0109265766301967	50
51	13	0.2568963722054485	17	0.42317968578408466	0.005963840041253251	1.5*median	-2.5227881339430756	-2.57047300213086	-5.235523321831506	-2.982957739218651	-2.9496947219758645	-3.2522873838199913	1.0093924478548992	40
52	5	0.12047048269549655	4	0.32104088032815725	0.0024571906848473396	1.5*mean	-2.4314871418069135	-2.5364056400023767	-5.223527474885497	-2.9451176912948513	-2.8762921816254376	-3.202566025923015	1.0291114371114272	15
53	9	0.4098922294352871	10	0.4371186735185244	0.03904868112634065	1.5*mean	-2.4142574510444694	-2.565216013532119	-5.221016288694474	-2.8972718861141025	-2.8681127322075772	-3.1931748743185486	1.0301853677509083	10
54	9	0.1335847664981177	16	0.27188557204454367	0.1691795339310153	1.5*mean	-2.6395004381795957	-2.6037802067549967	-5.253967231219326	-3.0828875004958554	-2.9920426175128676	-3.314435598832528	0.9879173312227065	60
55	6	0.16154827391033189	6	0.25778449543843757	0.13689872781403326	mean	-2.447085557335823	-2.5697378961834025	-5.227430589385569	-2.907526921221138	-2.850230133308208	-3.200402219486828	1.0278583486852018	14
56	14	0.19459345205656267	3	0.38859553229031507	0.0012570001129804198	0.5*mean	-2.457269961944957	-2.599691827131962	-5.232120743897462	-3.007725029041617	-2.893785864009558	-3.238118685205111	1.0163664811817015	32
57	13	0.3030378715636815	5	0.38544533257108293	0.0016331779437273666	mean	-2.385800937101398	-2.516874381588692	-5.2292849838155915	-2.9471949668808732	-2.820385190638068	-3.1799080920049247	1.0443732699104362	6
58	5	0.12714631108149965	11	0.6918608588855468	0.03911408081435474	1.5*mean	-2.5051092601492018	-2.548518831244058	-5.226624716938174	-3.024630359636046	-2.9256291858623507	-3.2461024707659663	1.010931774378176	36
59	4	0.11154981269923152	17	0.26175151367173943	0.05699696467744888	0.5*mean	-2.619786527688565	-2.6022881215944196	-5.241771238375887	-3.0550344397598286	-2.973901034901978	-3.2985562724641353	0.9885652243895536	59
