	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	0.2649578128880535	1.5*mean	-48.08525509714331	-3111.8472955606244	-26.098366785263135	-93.4844029013951	-36.13369503840155	-663.1298030765655	1224.575535134989	12
1	12	0.34553804393378756	9	0.0016401138413969622	0.5*mean	-50.08982761168663	-3111.84394272955	-25.140935716026917	-93.77397713977861	-39.447645930910284	-664.0592658255905	1224.1070144636396	32
2	13	0.10373142904805013	7	0.048143211804810813	1.5*mean	-49.77615558273269	-3111.8183979985697	-24.912925201131348	-93.57729317808482	-39.29029635122008	-663.8750136623478	1224.186450667467	25
3	3	0.11639554198431822	7	0.17913211790965036	1.5*mean	-50.9033236457111	-3111.985870034288	-25.373812206237016	-93.62552887316272	-40.510583943015455	-664.4798237404827	1223.9632919556364	44
4	8	0.8502138809685273	17	0.030734948372823923	mean	-50.550519573849414	-3111.890788359658	-24.634735940059347	-93.79325927920623	-39.951809628201055	-664.1642225561948	1224.079184847298	35
5	5	0.16994284286846398	15	0.09095301540307833	median	-51.26979919706304	-3111.845473365214	-25.16782570469734	-93.94625009310184	-41.496376812201056	-664.7451450344554	1223.7615429342989	52
6	10	0.33374331906557364	9	0.007682622920681918	median	-48.215540409685374	-3111.751851925255	-24.785051659446655	-93.67035471349917	-39.39720083314747	-663.5639999082067	1224.3103356582235	17
7	3	0.12603001028548488	13	0.00836453935803947	0.5*mean	-51.622804051524014	-3111.9395604619704	-25.616570001198816	-94.09550928015969	-41.612113598128936	-664.9773114785963	1223.6911668785795	55
8	12	0.6885222737947579	8	0.005995189136489382	mean	-48.79928944427127	-3111.7538800731013	-24.76487988812799	-93.67715749761214	-38.88494769114276	-663.5760309188511	1224.306218641385	18
9	8	0.12120152938136491	2	0.007488075467672605	0.5*median	-45.79551125946486	-3111.5567456181657	-24.647921313786647	-93.52991796376409	-39.44344227207064	-662.9947076854504	1224.4985789029333	9
10	4	0.23461246524642448	5	0.011842437064553185	0.5*median	-47.9442661785464	-3111.826112600405	-25.176669381759186	-93.63247753370041	-39.8421886065416	-663.6843428601904	1224.2846220103843	22
11	12	0.8061637563408413	18	0.06852378004457757	0.5*mean	-50.51446836259325	-3111.834974824102	-24.722687030877523	-93.79767880800586	-40.15401377058801	-664.2047645592332	1224.030255864799	37
12	6	0.2669645359194208	4	0.004384405622145092	mean	-48.708108253651716	-3111.6489216360865	-25.023775546055163	-93.75918762483897	-38.91437559997215	-663.6108737321208	1224.2357482026173	20
13	15	0.12366942622515488	10	0.08638804705336449	0.5*median	-49.9814506930776	-3111.780049604489	-24.811633718884384	-93.80253219598714	-40.19034931421267	-664.1132031053301	1224.0483067451196	33
14	15	0.30861914435616555	16	0.002403424871263923	mean	-51.09106937587516	-3111.841619520133	-25.263449217264036	-93.89833194597715	-40.80131594751808	-664.5791572013535	1223.8432225907848	48
15	7	0.360922143228199	12	0.01286806893091271	1.5*median	-50.55497400161381	-3111.8385313484096	-24.721089165867074	-93.78845240704759	-39.973082625639734	-664.1752259097156	1224.0470947156302	36
16	5	0.45889127367301447	13	0.02085497798342724	1.5*median	-50.25789386352648	-3111.842331182253	-24.55308688068592	-93.80479431052217	-40.1720634880933	-664.1260339450162	1224.0741475426735	34
17	11	0.12462304343612073	7	0.009925789646676326	0.5*median	-49.24080798362291	-3111.6553913369153	-24.845608651036418	-93.74743826072051	-40.13877703398451	-663.9256046532558	1224.0796458488708	27
18	10	0.3176314440286965	16	0.005548480361375192	1.5*mean	-51.31616186355495	-3111.8629857919987	-25.408274306345714	-93.91808647318746	-41.35472598781679	-664.7720468845807	1223.7558269480608	53
19	12	0.2599571533355433	1	0.08308491716590138	0.5*mean	-44.163234736867665	-3110.976965314564	-23.072901555704536	-92.87334322656316	-36.333113424317986	-661.4839116516034	1224.973563384132	1
20	15	0.1288265958920762	3	0.08466997920259306	1.5*mean	-43.63686609090813	-3111.5671647726667	-24.465239124097884	-93.31155777751619	-35.883523194799864	-661.7728701919978	1225.1229293699478	3
21	4	0.7517528960375698	11	0.2119789296243593	median	-49.65118883100803	-3111.9289088223077	-25.28203391897937	-93.84519642545143	-39.409928952071354	-664.0234513899635	1224.1674966088876	30
22	9	0.24316646058254404	9	0.01508434142241267	1.5*median	-49.29113305724126	-3111.720861144836	-24.822363990917967	-93.73462824846182	-39.86732778084795	-663.8872628444609	1224.1320663031283	26
23	12	0.6944318642240471	5	0.042835053510240736	median	-46.050551309565876	-3111.6051235787236	-24.96224218555062	-93.49762214744487	-36.22650348807424	-662.4684085418719	1224.7907915406945	5
24	14	0.22754674549322093	2	0.014953292430794882	0.5*median	-43.722716274897685	-3111.55724844336	-24.2418710118185	-93.50950966353614	-38.767705392769585	-662.3598101572763	1224.820985074149	4
25	15	0.5347629164516537	13	0.0010415851009308225	1.5*mean	-50.88311906601059	-3111.7950068381365	-24.852926544963353	-93.78724633941337	-39.93544366492263	-664.2507484906894	1223.9869711096546	38
26	10	0.2904933654556075	10	0.0033684114157531914	0.5*median	-49.80259629089952	-3111.7389441831797	-24.79514969343994	-93.7436773596343	-39.66086865877327	-663.9482472371853	1224.1110114113758	29
27	14	0.2533078077629738	17	0.002888961793031356	1.5*median	-51.333107793543384	-3111.8362485355833	-25.110580940917764	-93.90560533482854	-41.30422847296385	-664.6979542155675	1223.7808559739929	51
28	3	0.3809319587106196	2	0.09482970872473657	1.5*mean	-46.14481945272691	-3111.80586897312	-24.50989311691478	-93.31592789448872	-37.11913797084811	-662.5791294816197	1224.8343581136094	8
29	14	0.2620695667694257	10	0.08663211833438172	0.5*mean	-49.64486148788316	-3111.68748391415	-24.742686838489693	-93.6031489226728	-38.28387999036363	-663.5924122307118	1224.2653770712127	19
30	3	0.16618034849860697	19	0.09422044400979789	1.5*median	-51.56096568168712	-3111.9078502547823	-25.45824358211779	-94.06212177097902	-41.90567820083247	-664.9789718980797	1223.6744442138236	56
31	8	0.18804361569555236	15	0.14848907716377532	median	-50.836325777835945	-3111.837296008696	-24.952562042819153	-93.89427323640113	-40.64932873625791	-664.433957160402	1223.9153896030516	42
32	4	0.15759153635511386	20	0.06048187207384712	mean	-51.93753701749691	-3111.895065041886	-25.589831157296768	-94.1005145853603	-42.2486533300224	-665.1543202264126	1223.5793190485258	60
33	13	0.14618329436079053	9	0.0025587221958378228	1.5*mean	-50.979193102867534	-3111.7951593288008	-25.347474753916142	-93.9160340168897	-40.94161568608683	-664.5958953777122	1223.811129447997	49
34	12	0.19122022190757984	20	0.020370022829558295	1.5*mean	-51.90673884316275	-3111.8956738613556	-25.637081665643095	-93.9644525293369	-42.191821545933465	-665.1191536890864	1223.5961980665643	59
35	10	0.4349877460030659	1	0.0014374743904118025	1.5*mean	-47.68649410111755	-3111.658559341305	-24.87618897974615	-93.55381375507298	-38.515042846661686	-663.2580198047807	1224.417538002182	13
36	3	0.10548491763332951	10	0.00647956951977449	0.5*mean	-51.60062295226621	-3111.937458804151	-25.824938801100036	-94.07763104871037	-41.365857850793496	-664.9613018914042	1223.6975418015265	54
37	3	0.36877918875663757	6	0.006619298865197672	median	-48.201396530342656	-3111.852187636987	-25.068741148936606	-93.9111922675069	-39.30664422207026	-663.6680323611687	1224.3091025173135	21
38	14	0.8722910036138813	9	0.261938905090084	1.5*mean	-46.7345730009572	-3111.9060493863226	-25.21948544236262	-93.54220923531459	-38.130523275744395	-663.1065680681404	1224.6168283675609	10
39	14	0.11795496076270207	15	0.003996673612918531	mean	-51.97446795160999	-3111.8549722855223	-25.71418304368186	-94.00143427484308	-41.87754635712584	-665.0845207825566	1223.5936280218518	57
40	10	0.7348505678070261	19	0.14507859559057387	1.5*median	-50.50873632717661	-3111.899739876921	-24.974460174332755	-93.88635807661622	-40.62596268737339	-664.379051428484	1223.9740474654288	40
41	6	0.35183288999717616	4	0.052255175057892664	0.5*mean	-47.112414053610344	-3111.6824449616834	-23.82737662932211	-93.6445320742328	-36.5227249500538	-662.5578985337805	1224.7892328882874	6
42	3	0.2107651989885687	5	0.0028330177630692542	1.5*median	-48.42709728492503	-3111.8763599828403	-25.150321347554303	-93.73712384570652	-39.45840727676769	-663.7298619475588	1224.2882967930746	23
43	14	0.3363063470842054	15	0.04085810845348296	1.5*mean	-51.330267324095765	-3111.86576323118	-24.930132659988132	-93.86314625385856	-40.76897777863774	-664.5516574495521	1223.870312484737	47
44	3	0.48869418091009226	1	0.08084933683089568	median	-46.94199094231976	-3111.88158706327	-24.683704719701478	-93.67392233387385	-39.931140777313665	-663.4224691672958	1224.4461837455142	16
45	11	0.9090545612280351	2	0.18869226557597132	mean	-44.820421907376286	-3111.8145964681194	-22.45336657435875	-93.35154460554875	-35.58113981804436	-661.6042138746895	1225.3393779675725	2
46	8	0.12790182585157672	5	0.002074502236312459	1.5*mean	-49.76620267221924	-3111.7312694557995	-25.180303822355775	-93.79246418826516	-39.19588651455873	-663.9332253306396	1224.1142856209497	28
47	14	0.1727571045805199	19	0.19293005146866093	0.5*mean	-51.917317292528544	-3111.90481820907	-25.43071301344672	-93.98311166716448	-42.24040107051665	-665.0952722505452	1223.6136806609475	58
48	8	0.4468156011104356	6	0.021564832482610093	1.5*median	-44.35599652055136	-3111.687029305538	-24.987600567336422	-93.806787452476	-38.05671951315475	-662.5788266718113	1224.776103821515	7
49	3	0.5556786024227276	15	0.0010358586762288984	1.5*median	-50.73813826138854	-3111.962190469889	-24.933650803915317	-93.89878342902054	-40.10172247415124	-664.3268970876729	1224.0325746674357	39
50	5	0.47029376216108043	17	0.25787961972019113	1.5*median	-50.561973964310624	-3111.9107741080634	-24.84820000920901	-93.8397021326572	-40.816889508042735	-664.3955079444565	1223.9712059968	41
51	11	0.2658431858088703	13	0.032298119226092534	0.5*mean	-51.14016188266131	-3111.8218225942796	-24.916035464735522	-93.89077360270572	-40.699280491716834	-664.4936148072198	1223.8777936344036	45
52	8	0.4330144032570849	15	0.0028708424074736223	1.5*mean	-51.04481226032376	-3111.858572954542	-25.13139677161052	-93.8478838866323	-40.30352737114478	-664.4372386488507	1223.9238960936314	43
53	3	0.17635738245593457	7	0.04824403206585336	1.5*mean	-49.06868924375936	-3111.875869223265	-25.114835185681088	-93.83284091666211	-38.895426026091364	-663.7575321190917	1224.275872966601	24
54	4	0.24528054567592952	12	0.01264311719366095	1.5*mean	-51.03664680610773	-3111.8666938914366	-25.019190020921126	-94.02296363126683	-40.58916425876289	-664.5069317216992	1223.8942361292195	46
55	11	0.48406539530408055	8	0.036263699781200566	1.5*median	-46.91954119012659	-3111.68834121596	-24.794077452951235	-93.77789231962086	-38.382005731469	-663.1123715820255	1224.5078935807444	11
56	6	0.5961117415001431	14	0.11201180045291592	median	-50.509161959659124	-3111.870657349678	-24.7413261819962	-93.85013658739986	-39.31774962408661	-664.057806340564	1224.123537842549	31
57	4	0.20655218988298837	16	0.03611945399305185	0.5*median	-51.24155179550036	-3111.845276676816	-25.22127236639787	-93.93011345600081	-41.05784960933836	-664.6592127808108	1223.8048948049166	50
58	14	0.7029210683938333	8	0.048291322228006785	1.5*median	-46.93003969169146	-3111.776720346327	-25.336501753002214	-93.88135113347982	-38.69201762921785	-663.3233261107437	1224.4443907129184	14
59	11	0.12378020257583978	3	0.03988869153896019	mean	-48.515871747614206	-3111.610546835769	-24.312054110345365	-93.42786561602824	-39.23742428295729	-663.4207525185428	1224.3118824991177	15
