	param_regressor__regressor__max_depth	param_regressor__regressor__max_features	param_regressor__regressor__min_samples_leaf	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	7	0.6024469253300577	4	161	-37.537914069818605	-225.22009635804633	-1.927614854264551	-179.40154444685504	-0.30540566999895524	-88.8785150797967	94.68363924549908	6
1	10	0.9505818372837345	15	33	-38.069211318182354	-226.27544691718464	-2.309287316921776	-180.05375735434018	-0.44022144718749545	-89.42958487076328	94.95943514725124	30
2	11	0.12210780650989218	11	146	-38.0855986772599	-226.40679015936269	-2.3553165353649708	-180.0749813620378	-0.3128422949904511	-89.44710580580315	95.01501783457161	41
3	10	0.33710469007439975	17	137	-38.0841656543112	-226.37399095696884	-2.3889818201535484	-180.09327994989434	-0.33050036776873937	-89.45418374981935	94.99972468526397	47
4	10	0.2404036920490297	12	65	-38.085081953613916	-226.36363449123039	-2.366465503636429	-180.08066315323697	-0.31662631225032534	-89.4424942827936	95.00096338750056	35
5	13	0.47023751452725704	13	79	-38.07712055842361	-226.2438394719699	-2.349774659900603	-180.05169954726705	-0.36148632052731533	-89.4167841116177	94.95641339887742	23
6	11	0.8535049018317404	17	199	-38.07157838693581	-226.32164890168963	-2.337218837407183	-180.0716572279313	-0.4007561512426998	-89.44057190104134	94.97818619738517	32
7	3	0.7100592449330713	10	48	-38.044061711466725	-226.25354051642924	-2.2834774527449455	-179.9639747491413	-0.36208139877628676	-89.3814271657117	94.9580909628604	18
8	7	0.8662222513716047	4	82	-37.31523777099346	-224.5767883811382	-1.8950265954420924	-178.95741105829853	-0.31776120704205646	-88.61244500258286	94.44128427068789	3
9	6	0.46667360816459225	1	154	-46.1453744528904	-224.25253952715966	-0.926324877677632	-178.81421379901144	-0.46352319790505164	-90.12039517092884	93.57966117383465	60
10	9	0.30383437164340354	13	102	-38.07407878192264	-226.3568997713077	-2.395262490504105	-180.05998702877602	-0.32984949764697247	-89.4432155140315	94.98850725599911	36
11	15	0.30019341048062986	11	45	-38.066917205442365	-226.28823607512692	-2.3566536002588423	-180.06070466326878	-0.3289806228448702	-89.42029843338835	94.97686720482196	27
12	3	0.587012712467264	1	159	-45.40934624740826	-220.87567400697174	-0.22951279884554351	-179.09354673355628	-0.30470675260907065	-89.18255730787817	92.90325447337204	13
13	7	0.2836892848880621	4	133	-37.70110716640398	-225.56292330097662	-1.973931222217529	-179.83126340475332	-0.3066708813903261	-89.07517919514837	94.83811665745509	11
14	14	0.19174309209990661	5	29	-37.86254133789273	-226.11501693974446	-2.3266903217632797	-179.94631386175863	-0.3090965431400241	-89.31193180085982	94.93645455058693	14
15	4	0.26227519927176973	6	83	-37.98193749986216	-226.15161386266837	-2.2053270484871095	-179.9546981331989	-0.3088432856109908	-89.32048396596551	94.95797805465108	15
16	4	0.5509584813680587	3	93	-37.20942176933421	-224.31357089764117	-0.5189610460829409	-179.23750354000416	-0.30427930372486695	-88.31674731135746	94.68719497448797	1
17	5	0.42000631841599434	4	196	-37.587325472720785	-225.68539211835983	-1.9670547449175044	-179.44923288413767	-0.3158510761520475	-89.00097125925757	94.81227249183664	9
18	3	0.4647942713902657	12	147	-38.05908452403298	-226.3031503792173	-2.298201114764321	-180.05832402274422	-0.3667605256055581	-89.41710411327287	94.98519204367943	24
19	15	0.48375885085447123	15	134	-38.08104303344533	-226.34320796387993	-2.3585985819742374	-180.0903917426341	-0.34367598144615497	-89.44338346067596	94.99373632392216	37
20	7	0.4818522090824013	16	69	-38.0856616965086	-226.3481335063159	-2.3581369914573704	-180.0881604052821	-0.3428510141011242	-89.44458872273302	94.99447013885238	38
21	6	0.4457782270011809	12	64	-38.07303620425497	-226.32544927462808	-2.3457833071274727	-180.03626658309946	-0.3452926003073033	-89.42516559388346	94.98120138131551	29
22	14	0.28048158131317685	14	188	-38.08867578685727	-226.37003539576384	-2.3662166717563626	-180.09133427665745	-0.32978327916045574	-89.44920908203908	95.00203317946378	42
23	10	0.694187381215784	13	89	-38.06757455141243	-226.27330496286535	-2.3143749750605824	-180.0270643379228	-0.42971286227919864	-89.42240633790807	94.95493654732785	28
24	11	0.12462304343612073	7	159	-38.03731429558422	-226.31833757633487	-2.295470911829483	-180.0851757781219	-0.31557213572503867	-89.41037413951909	95.00714866872909	20
25	15	0.4813399971756929	18	110	-38.077423383795626	-226.36411639649745	-2.383131636861325	-180.10011193572416	-0.3331952793252892	-89.45159572644077	94.99947802828815	44
26	7	0.8939971638821432	1	200	-49.60406930180959	-223.61766948739495	-0.26923270195255067	-176.2617814458527	-0.31397186380413755	-90.01334496016278	92.75969071394194	59
27	9	0.287979444759063	7	172	-37.997528105280345	-226.21182143068665	-2.2226593318116747	-179.96719507796897	-0.3160458514137345	-89.34304995943228	94.97149974655512	16
28	14	0.3147162092971964	18	103	-38.0885163056657	-226.3712808030072	-2.3988360233592365	-180.11022611575535	-0.3152454608845246	-89.45682094173439	95.00276325159109	51
29	9	0.185427639181401	6	89	-37.98716859262414	-226.281749362029	-2.2829552783419316	-180.04123949749686	-0.3100698533016586	-89.38063651675873	94.99696847713795	17
30	4	0.7510549709056645	10	192	-38.040664496180014	-226.30653268452858	-2.20931501113084	-179.98159457737643	-0.4011912200327652	-89.38785959784973	94.98337547951071	19
31	8	0.5214854939752187	5	86	-37.759675242947196	-225.82386544361404	-2.1330861251963924	-179.51268761671943	-0.3095639712779637	-89.107775679951	94.81633165953396	12
32	12	0.313340878269026	2	95	-37.83906920738398	-223.9781924329042	-1.7276080375589997	-179.45814797794554	-0.30487963075220287	-88.66157945730899	94.34188035169065	4
33	14	0.5467632009552702	20	193	-38.08100811491903	-226.38440107941997	-2.379046620162154	-180.10351833563794	-0.33030774234506394	-89.45565637849684	95.00687788102367	48
34	12	0.32613769821026833	14	174	-38.08760488100031	-226.36029104979247	-2.3895466679546624	-180.08988084013083	-0.33017679237466224	-89.45150004625059	94.99471231400324	43
35	10	0.2904933654556075	10	153	-38.069157490330014	-226.360045053593	-2.3070874644664277	-179.99334302143268	-0.33129535615167716	-89.41218567719474	94.9931281220229	22
36	14	0.40529453845161223	17	143	-38.081369593764926	-226.37048846205715	-2.394980848631775	-180.09407382887778	-0.32512428888587364	-89.4532074044435	94.99907815271175	45
37	6	0.649116298687579	2	55	-43.181503365331544	-221.9036407796691	-0.5165243173580003	-177.82791922678106	-0.30782281276309725	-88.74748210038055	93.11113847135236	5
38	11	0.3501642892173135	15	55	-38.07974457446104	-226.3400229598428	-2.3764672522416648	-180.0843480683051	-0.33041806492376175	-89.44220018395487	94.9910166947066	34
39	12	0.6056617559343601	3	105	-37.24494993281589	-224.0673775271784	-1.6063036495298784	-179.1885987125142	-0.30386787132550924	-88.48221953867277	94.40242216236591	2
40	3	0.16618034849860697	19	19	-38.08990268961037	-226.4064063010325	-2.4272930082150195	-180.118698788633	-0.31585900018350305	-89.47163195753488	95.00902488384496	57
41	12	0.9443645612957102	12	11	-38.05740037212425	-226.26748146350866	-2.232057098618178	-179.9591928494679	-0.5371215225317619	-89.41065066125016	94.93639797468228	21
42	3	0.9648631773837126	18	171	-38.08057297411173	-226.34440736175267	-2.311390888214252	-180.07502169321393	-0.4704878220993187	-89.45637614787837	94.97608324085226	50
43	8	0.8127797906579691	19	74	-38.08419706970324	-226.37038256132644	-2.362949923711149	-180.09165644709935	-0.3723264802974816	-89.45630249642753	94.9952975330395	49
44	13	0.14618329436079053	9	110	-38.08156890789505	-226.33855908166086	-2.3829557361584923	-180.07524866493117	-0.3203696252952036	-89.43974040318815	94.98935697979528	31
45	12	0.19122022190757984	20	64	-38.090755058586126	-226.40778265352677	-2.4024565776585334	-180.13409591166177	-0.30987662248459613	-89.46899336478357	95.01794160001769	56
46	13	0.6632693345690645	18	153	-38.069841191978085	-226.36183868916154	-2.3746612087510575	-180.10349915453088	-0.3567640332213117	-89.45332085552857	94.99741940373703	46
47	3	0.1157769983230333	13	186	-38.0886088162536	-226.40358181162867	-2.3823157584118637	-180.1232914010816	-0.31613042622849025	-89.46278564272085	95.01741879875863	52
48	3	0.3294428428224735	15	194	-38.085027520025186	-226.36112192077874	-2.3774583590515466	-180.0765160318394	-0.3303386288412301	-89.44609249210723	94.9948657411818	40
49	5	0.26733356690634685	12	15	-38.07767778915995	-226.3263360827469	-2.3414289238631856	-180.02112948711738	-0.3309306742186183	-89.41950059142121	94.98155966996312	26
50	8	0.10275211894245509	12	116	-38.08737247261691	-226.41637460478736	-2.3967841862841204	-180.11667571647828	-0.316373059122338	-89.4667160078578	95.01728032562605	54
51	3	0.9830095095329656	6	166	-37.83866252407743	-225.48912263950317	-1.3290169489696206	-179.6110520735493	-0.31176327664960535	-88.91592349254982	94.87770556567818	7
52	14	0.11795496076270207	15	190	-38.09655084820785	-226.4149553081725	-2.4136209544213854	-180.12643844881026	-0.3165477497628502	-89.47362266187496	95.01462309494937	58
53	3	0.5908025274640991	16	68	-38.0841066273128	-226.35186758538504	-2.3451549293232214	-180.0804014748334	-0.34539434939178837	-89.44138499324924	94.99613722007369	33
54	5	0.7458082500051022	16	136	-38.0754252462688	-226.33510951108687	-2.357484993916522	-180.05693770840537	-0.40280621016781526	-89.44555273396907	94.97473989532347	39
55	6	0.35183288999717616	4	145	-37.503653662121614	-225.87219480480954	-1.9896722677109426	-179.65189610784756	-0.3131677044052873	-89.06611690937898	94.91023881780427	10
56	4	0.16362365325910813	2	85	-37.262681994700124	-225.6225271918362	-1.826093862183556	-179.62991050663896	-0.3056676978735535	-88.92937625064647	94.89172276271724	8
57	14	0.22949883949495972	18	71	-38.09212779098819	-226.38343762638578	-2.4210431139210384	-180.12573930367634	-0.3167704678870711	-89.46782366057168	95.00448140100937	55
58	15	0.20751231812349685	17	123	-38.087440562947904	-226.39589114504727	-2.4037813492948334	-180.11979677633573	-0.3148556942428156	-89.46435310557371	95.0109664855949	53
59	13	0.3744794639215287	12	107	-38.06975764394004	-226.31769061095966	-2.3520012660183527	-180.01792059426438	-0.328414510404424	-89.41715692511737	94.97784506801567	25
