	param_regressor__regressor__C	param_regressor__regressor__epsilon	param_regressor__regressor__gamma	param_regressor__regressor__kernel	param_regressor__selector__estimator__n_components	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0	0.1421073623993574	1.3172711156111805	0.015561310098067912	poly	203	-3.0062476451830626	-2.7385734723416157	-5.211233319616378	-3.2820840544234255	-3.2444056791283664	-3.4965088341385693	0.8791627942625264	44
1	9.036058293737208	0.142555337175474	0.032033347004714594	rbf	142	-2.8494265961053307	-2.817224726322514	-5.292152021614716	-3.310873535887124	-3.203632268472142	-3.4946618296803655	0.9192058385568682	43
2	0.34425317961148044	0.09989183779852141	0.24897169764256202	poly	491	-2.7082039384611827	-2.3840489010021604	-5.443499287892586	-2.9059729904726956	-2.847058791594098	-3.257756781884545	1.107724583687634	34
3	0.5779393515080472	0.0018354619576988673	0.0027588494169594486	poly	144	-2.6932467015045125	-2.391439261584126	-5.3842484405732565	-2.9664486983175378	-2.7063105430406322	-3.228338729004013	1.0932310548107365	29
4	0.4919782150392741	5.225318469373284	0.002055506479913678	rbf	351	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	85
5	0.32343582696833884	2.542016382697841	0.0007417607011378456	rbf	360	-6.062110336543992	-5.5886339572416155	-6.377512214158339	-5.61753828929635	-5.876586680539099	-5.904476295555879	0.29376150323012545	84
6	7.50340988771292	0.062417041756010455	0.008380073489822752	poly	357	-2.672393425451267	-2.2863109969550144	-5.4278564096186726	-2.837929880212629	-2.763671938549491	-3.197632530157415	1.131193122146357	23
7	0.8619969307964112	0.006597757684493763	0.028433442603746625	rbf	352	-3.45421018200252	-3.4975083599016363	-5.48336159400631	-4.075003900485074	-3.882669070616139	-4.078550621402336	0.7401739152166871	71
8	0.9011608369599196	0.029077799867390453	1.5473550318638905	poly	491	-2.7147402924311703	-2.3507307266489232	-5.433875882710868	-2.884610504562926	-2.8351200411296476	-3.243815489496707	1.1108506357223202	33
9	0.4246091556540972	0.19520967147978605	0.0024001878979773095	poly	167	-2.8339152639857157	-2.5468231485509243	-5.384673307110775	-3.052330427174616	-2.87740234851006	-3.339028899066418	1.035633706058379	39
10	0.41727127020837806	0.013516956201223585	4.026870845729604	poly	133	-2.4070265134676316	-4265.680797021573	-219.2196459028722	-2.9754167716581508	-23.271151779341917	-902.7108075977827	1683.4614398818833	99
11	0.6878828015304654	8.80830983124327	0.9286455703575308	poly	483	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	91
12	0.39872930173748916	0.10370998597921122	0.13070106279066934	poly	167	-2.4944368172278786	-3.276178292130328	-359.53098630747473	-2.8368377147170607	-3.04885973678955	-74.23745977366791	142.6469955520564	96
13	0.3298158644785717	0.04176343708829257	0.21692211670312928	poly	333	-2.6025620389659103	-2.2696156114073087	-5.416887273369165	-2.8261903200892173	-2.772609543189854	-3.1775729574042915	1.1363993865553759	17
14	3.6599152349364883	0.5476658937698397	0.48236115293568627	rbf	409	-3.3437438564233917	-3.3345966197500485	-5.414270459606094	-3.9077550825229994	-3.735073675589794	-3.9470879387784654	0.766588725249311	53
15	8.090638785890253	0.00412056392822289	0.17603306988090964	poly	350	-2.5973187739457444	-2.2585894678909852	-5.396739284489459	-2.7907598699327854	-2.756623702389004	-3.1600062197295955	1.1341256056771116	13
16	0.19375638873084802	0.06188955912524452	0.1977728179044527	poly	231	-2.584792667555033	-2.2130787391339832	-5.470278182705614	-2.8633837127884276	-3.066077742442074	-3.239522208925026	1.1515287521209772	32
17	4.754811058671458	0.13496786449256754	0.00015784486667834883	rbf	266	-2.336456724926747	-2.2055433689454067	-5.262960315433305	-2.7710115269075737	-2.5800321646404445	-3.031200820170695	1.1328178718043538	7
18	3.9608640438377654	0.04069620733438749	0.2583805125532214	poly	297	-2.5973860020493054	-2.168792950960385	-5.422087019841903	-2.759193254804641	-2.7153556984428464	-3.132562985219816	1.1636712820289252	10
19	3.729352080049415	6.387700779170638	0.0019488257262125575	rbf	352	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	85
20	5.447623626183854	0.06877743262404226	0.00035483598443775415	rbf	206	-2.2466257191201273	-2.1663342352134434	-5.254455337545797	-2.682732347584023	-2.5747068696116333	-2.984970901815005	1.1511336954950944	2
21	5.9508349320949865	0.5008124070343285	1.005530492433656	poly	105	-3.205763572514176	-69.70310917721136	-477.2714813271929	-2.7787805633637195	-27.732395720469363	-116.13830607215031	182.20490879478513	98
22	0.1205900898851218	3.1819027317917037	0.002414434133743	rbf	282	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.658843188405783	0.16492165431815523	91
23	3.922129363239759	0.7395523630830766	0.0005441740900330933	poly	176	-3.1400240142960714	-3.129982422335759	-5.400406731969368	-3.6500622433028704	-3.503171631726609	-3.764729408726135	0.8426341913154217	46
24	0.13756379238218916	0.02680911720728221	1.1591716495135143	poly	258	-2.563448757512299	-2.1778992050698394	-5.503075024654601	-2.7821451006142914	-2.7072732804737236	-3.146768273664951	1.1964327262433114	11
25	1.5838311313512836	0.8177962835568138	1.276844592405299	poly	496	-2.904894039541803	-2.719321028074481	-5.465227420404978	-3.1897927595863793	-3.147606103854277	-3.4853682702923834	1.0044968021617369	42
26	0.10334430538642785	0.04797636442260973	0.020686217668581752	poly	330	-2.6386167569318926	-2.2720773525918663	-5.437042712539242	-2.808164363540743	-2.6930171704446577	-3.16978367120968	1.1477415480613276	15
27	1.2102755623608206	0.26982550948899525	1.3876053798982517	rbf	489	-3.390893892448065	-3.4150072569089587	-5.441596918307644	-3.992779308883071	-3.8061462427709896	-4.009284723863745	0.7521474352394251	57
28	0.18042458207871773	0.008350696457448297	0.19760229548803449	poly	145	-2.3441304347541534	-11.563714259499886	-415.88812920464676	-2.8879563461445716	-7.086092422689238	-87.95400453354692	164.00071272927786	97
29	0.280644977190694	0.19927386782171544	0.0007040745038916636	rbf	452	-2.3598366532709547	-2.388296984464216	-5.247085963965301	-2.910471317656962	-2.719971956201584	-3.1251325751118033	1.0808816126353393	9
30	5.175487359646688	0.0013636308503605895	0.046049405172526856	poly	369	-2.640079925222213	-2.279393464913136	-5.408103626977505	-2.820047575108264	-2.7413999142479843	-3.1778049012938205	1.1303949116883885	18
31	0.9442890680039653	0.011275243659847802	0.04329412383922446	rbf	253	-3.449629846361012	-3.4923443683728657	-5.4803956916806715	-4.070261235629012	-3.8781049348543952	-4.0741472153795915	0.7408777160479685	70
32	1.7654153660401806	0.32978260131059967	3.5470269061833384	rbf	164	-3.368927308397486	-3.382074741004045	-5.4282120962155185	-3.959344003600382	-3.776229872972482	-3.9829576044379826	0.7576474012532057	55
33	1.4797883549116526	0.0045665790441195234	0.009077507232951506	poly	256	-2.7227594931721035	-2.225254478478189	-5.428029249160355	-2.817560951292923	-2.7721542000704744	-3.1931516744348087	1.1376360424033958	21
34	0.48616351410210656	0.6611217983352153	0.02062690115804832	rbf	410	-3.342436707820156	-3.3371922690012923	-5.41529840087496	-3.9115844556939936	-3.737474702150394	-3.9487973071081592	0.766603078092221	54
35	0.12289452114159827	0.0010786139185158432	0.0064281090913621995	rbf	331	-3.207778317481509	-3.2900799241035754	-5.422090111491236	-3.85692243915254	-3.6740907640724787	-3.890192311260267	0.8025386432519593	48
36	0.19905477801852903	0.0012381163889645004	0.04203385133060079	rbf	276	-3.498723574965869	-3.548349252217639	-5.509783424510838	-4.1254313421054585	-3.928174972439793	-4.122092513247919	0.7322665345904414	76
37	1.3599809006000376	0.007258247068945441	0.00011453914398340603	poly	462	-3.510686639510718	-3.5613234466836508	-5.517141605230716	-4.138420351324914	-3.939747029211725	-4.133463814392345	0.730384966835136	78
38	0.11966161458027441	8.03258423070542	0.05718280027050566	poly	149	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	85
39	0.4787795987464683	0.009367195326263627	0.00034415503113544867	poly	192	-3.503426461642837	-3.554866179555063	-5.514997429425778	-4.129936158686783	-3.932367506223416	-4.127118747106775	0.7322032898704988	77
40	0.5025775698361402	0.005630810983741173	3.658166194659615	rbf	311	-3.478082216394996	-3.5258495597886164	-5.4971675180891015	-4.1031150028727605	-3.907436355952802	-4.102330130619656	0.7356046280265583	73
41	1.2378638248376508	0.06331429539178654	0.2937622409828279	rbf	133	-3.4293098931761117	-3.4682738260051136	-5.465969562388314	-4.046033374943937	-3.8545268197707485	-4.052822695256845	0.743883997958101	63
42	0.13889268531057544	0.027740991235729377	0.012316795007800219	poly	161	-2.38989629705943	-2.1667222947550657	-13.8303917834429	-2.7724656232584577	-3.9703048313762856	-5.025956165978428	4.446003505876458	83
43	0.24944919775518418	0.3998122459735437	0.0353901551995392	poly	222	-2.519554152198312	-2.3897254626584963	-5.3974968358180115	-2.8179540436175095	-2.774007199622498	-3.1797475387829657	1.1201715840816227	19
44	1.402348688989556	1.2035753500830397	0.009230840780093143	rbf	194	-2.8767105476156423	-2.7584116070854376	-5.313313641334945	-3.2122014141140425	-3.2260788324744207	-3.4773432085248976	0.936145675508614	41
45	9.038653563119032	0.006722403358185997	0.023988688418671664	rbf	360	-3.3743725589841853	-3.3943081854718895	-5.440486763926839	-3.9715318137024496	-3.7904459706471556	-3.994229058546504	0.7586608196301632	56
46	0.18024895053761217	2.0322492623067805	0.0015387908072870768	rbf	249	-4.301404207405854	-4.006587633691307	-6.1328526490278925	-4.303000434426957	-4.368171574192844	-4.622403299748971	0.7655558175913008	80
47	4.3784095552797995	0.0016107876632039406	0.00010215820192338262	poly	105	-3.5115890895252706	-3.5626234205178897	-5.517976759673491	-4.139440119170641	-3.9407447951393118	-4.134474836805321	0.7302923045092798	79
48	1.193580396206958	0.14192690836073354	0.036211635531716774	rbf	168	-3.2799900189894737	-3.297653792535578	-5.416479919840731	-3.8584713428685005	-3.705489297250704	-3.9116168742969974	0.7855990022250036	50
49	1.611087408380421	0.014135779707142039	0.23006263633125337	rbf	191	-3.424474123613257	-3.4632192057754847	-5.462758158225092	-4.040599145847566	-3.8494019974350215	-4.048090526179284	0.7445521661203066	62
50	0.10193429389044685	0.003862252461107198	0.00015252490263240043	rbf	193	-3.4021908972332815	-3.4603322162703822	-5.4778635025429265	-4.0352476997318005	-3.8407000926802612	-4.04326688169173	0.7549776576623526	61
51	0.335151321983418	0.27351783040654054	0.0005514088049759099	rbf	486	-2.4018687888442063	-2.4110132767416137	-5.2516528946955106	-2.9415722919099196	-2.7565494870157523	-3.1525313478414003	1.069669103330315	12
52	2.770459945625788	0.011758497521089959	0.0008403865136673708	poly	260	-3.138879211172437	-3.0837021961372506	-5.443776333467609	-3.506036146237604	-3.4033717611485046	-3.7151531296326814	0.8786236538842359	45
53	0.31101926346708775	0.2422124599726569	0.00028808739783903447	poly	121	-3.451378504346203	-3.489397097416113	-5.48062264301447	-4.067919511437622	-3.8742359399512094	-4.072710739233123	0.7413419833602304	68
54	0.840527417170035	0.060151915234931574	0.0003338539491559867	poly	271	-3.4842085938057004	-3.533773217317786	-5.505560267961223	-4.107708895170047	-3.9120433629266103	-4.108658867436273	0.7362640473089685	74
55	4.3031648984571955	0.3297620587844696	0.0016222322738670084	poly	442	-2.7114857615172743	-2.392943170736206	-5.405559448127549	-2.934451690861243	-2.883028857430154	-3.265493785734485	1.0866479462959193	35
56	1.3492851311262828	0.01641679549371883	0.02538787756085899	rbf	472	-3.431912473774189	-3.471520663604309	-5.468170590961888	-4.049074553389277	-3.858121916691841	-4.0557600396843005	0.743576562675499	64
57	0.11913638550346599	0.18871075820377886	8.488298606711847	rbf	203	-3.4592416805115263	-3.49921445207551	-5.48451461655752	-4.077801037315651	-3.883612235601604	-4.0808768044123624	0.73944346606461	72
58	2.2884270799870814	0.00307877163559423	0.00029057346052782694	rbf	295	-2.3058230026935163	-2.2334384499672826	-5.2566890195634866	-2.740625822127936	-2.573911969283364	-3.0220976527271173	1.1321243825113005	6
59	0.36455283076677586	0.012179064454186959	2.8254715403146826	poly	393	-2.6424702216252287	-2.3143850346137067	-5.456541082533894	-2.8158068339608113	-2.7792474125096285	-3.201690117048654	1.1412058380578758	25
60	0.3821382610565839	0.154496968830684	0.3814636939602	rbf	440	-3.451735330665382	-3.4916974669116154	-5.480079003355974	-4.06995247940741	-3.8766487084946237	-4.074022597767001	0.7405824241163562	69
61	2.93200432354269	0.0017214383893619045	0.08534058598398081	poly	483	-2.708858975793997	-2.344332112891578	-5.445263801095672	-2.869029198551881	-2.8123674991856924	-3.2359703175037646	1.1196363591442944	31
62	1.8034969025397865	0.7256520440013577	0.0016452753368065992	rbf	480	-2.077463546646671	-2.3613730802475685	-5.254446409164269	-2.6705875205275174	-2.647732131450395	-3.0023205376072846	1.1466494469158952	3
63	0.12740999103666345	0.8520942561724919	0.007151127090759888	poly	202	-2.7112313292886414	-2.3618469767970116	-5.299326088561805	-2.9074271542772965	-2.8528777450635574	-3.2265418587976624	1.05367316644904	28
64	5.663231474192114	0.02037861131737699	2.785755421670936	rbf	264	-3.399120421342989	-3.427179171788505	-5.447031752755808	-4.005245409370809	-3.8173888125960915	-4.019193113570841	0.7502817263941982	58
65	0.45509188117297344	0.0017303366940056876	0.0016809189110156744	rbf	186	-2.1594185843968217	-2.266749399110961	-5.24401322242023	-2.748250547767785	-2.5961207255598984	-3.0029104958511397	1.1407263302343282	4
66	0.6464505071005882	0.004366503833550039	0.0030907668530528983	poly	413	-2.725615232633125	-2.273488430973058	-5.399058932153668	-2.825460888196694	-2.770933199990108	-3.1989113367893305	1.1174700641483448	24
67	0.21377328501576795	1.2925289115709941	0.0004724144324174548	poly	390	-3.385377934970222	-3.2956200042420765	-5.45421793042623	-3.8228523179149945	-3.701534844466201	-3.9319206064039447	0.7856144068934099	52
68	1.1492401024498449	0.0014882631973209197	4.516202311507864	rbf	424	-3.4457412000767613	-3.4892011375424477	-5.476622023317458	-4.0667166003755835	-3.8738392719506516	-4.0704240466525805	0.7408239733242188	67
69	2.902970067180565	0.12440334535162918	0.000290341432824249	rbf	358	-2.2745411448834827	-2.2235665185667224	-5.2609135294937746	-2.74288722751482	-2.550784741890684	-3.010538632469897	1.140895744704758	5
70	0.19881534510812204	0.004413671809312298	0.00018356038741283004	rbf	280	-3.2231740746783504	-3.288431067811781	-5.418003040468004	-3.865857697166826	-3.6661752267412697	-3.8923282213732455	0.7989979428473152	49
71	7.885996720273348	0.0023182867869160277	0.03481435708106272	poly	468	-2.698073917892469	-2.3416182638726757	-5.45837565659664	-2.8641776432373693	-2.7932038068598763	-3.2310898576918055	1.1280457885142343	30
72	0.26889065088923503	1.1279459549853714	4.905396367477529	rbf	262	-3.3555269190219006	-3.2925175254874133	-5.427721038808114	-3.8414443689714948	-3.699011107521482	-3.9232441919620813	0.7798129647154759	51
73	0.10263226366395216	9.927347071694948	0.00017332693744372528	rbf	326	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	91
74	1.1970530605546528	3.68921316893709	1.3048499050674216	poly	273	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	91
75	5.504922250143743	1.0028548379933295	0.00035193840880512283	poly	476	-3.239588281243871	-3.1851130765684292	-5.413130453090836	-3.7172006846011034	-3.582496456675217	-3.827505790435891	0.8178896939401097	47
76	6.058941995059425	0.0034952817815228675	0.022839763295344342	poly	459	-2.678645898903256	-2.3218036940260602	-5.433689453846489	-2.833980560175309	-2.8140950498554744	-3.2164429313613176	1.1237391545815743	26
77	0.8492342385385877	0.004752712577250119	0.01014570162724724	rbf	245	-2.174270670908402	-2.5847466529992618	-5.500290669507562	-3.175551001577291	-2.9113794739639074	-3.269247693791285	1.1646388150730702	37
78	0.12890099396076743	0.03896930461494585	0.25817724668722924	rbf	274	-3.494910493527885	-3.543219626058338	-5.507067083974814	-4.120624493784218	-3.9234119287584144	-4.117846725220735	0.7329381506099717	75
79	0.552794556109634	0.13237642338999778	0.26375616027056054	rbf	131	-3.4473848380524093	-3.4873193836262675	-5.477403145320552	-4.065471252712608	-3.8726952417757414	-4.0700547722975156	0.7412016751482396	66
80	1.9516977790665917	0.005531224771118568	3.454801016899585	rbf	128	-3.4160090004895083	-3.4521502984989563	-5.45708850942782	-4.029793742020596	-3.8388760539712345	-4.038783520881623	0.7461393291923734	60
81	0.6874387871457819	0.17590287377169025	0.17102517454946214	poly	189	-2.3951324463620463	-3.053786851624745	-5.375067294917997	-2.8729860517530676	-2.869731054452288	-3.3133407398220287	1.0537450245009998	38
82	0.9011015652749286	0.0623685765269544	0.06184624846393622	rbf	207	-3.4430018892586793	-3.483813246112419	-5.475395562338104	-4.061823356992044	-3.8700881696711535	-4.06682444487448	0.7418705284064887	65
83	3.0715311943255403	0.47897292853430007	0.0018720158790544725	rbf	132	-2.2074566119077845	-2.098969241319877	-5.229885137783306	-2.6088613933775013	-2.5334293889570763	-2.935720354669109	1.1629606492451472	1
84	3.1512308390837767	2.346724814659051	2.3053144416181843	poly	138	-4.772820331939816	-4.310952623840303	-6.377512214158339	-4.635875764511283	-4.708805856803139	-4.9611933582505765	0.7257806140991869	82
85	0.8575447460353527	3.9446090331309027	0.002989205531767543	rbf	362	-6.831716546749993	-6.580379124508874	-6.377512214158339	-6.711456882101416	-6.793151174510288	-6.658843188405783	0.1649216543181552	91
86	0.16457643966862176	2.1466460168601302	0.0015459792144985472	rbf	177	-4.599360510544756	-4.276097611774494	-6.375189283434	-4.520209851828498	-4.624931571373867	-4.879157765791122	0.7580966848697877	81
87	0.9868648116204308	0.004398484445996326	0.4679542412783794	poly	283	-2.598785207189982	-2.2665312370878135	-5.459666908324694	-2.7783360770811942	-2.703061337622263	-3.161276153461189	1.1624257835756506	14
88	2.499207410665839	7.234114128690131	0.0019086322422612158	poly	357	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	85
89	0.6797805581727646	7.493292628069564	0.009213644589534848	rbf	485	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	85
90	0.3540661885076109	0.001040019568049377	0.022843016015847196	poly	391	-2.5968044098338305	-2.2773731108430946	-5.414253110882693	-2.8213978196196803	-2.8218484361295118	-3.186335377461762	1.131671926164629	20
91	0.7935370668469917	5.193982189193039	0.0007852845158601909	poly	381	-6.831716546749993	-6.58037912450887	-6.377512214158339	-6.711456882101414	-6.793151174510289	-6.65884318840578	0.16492165431815564	85
92	1.9445978109396063	0.013340519261413507	0.022617259640108515	poly	443	-2.6946714995327987	-2.329116647960452	-5.423195076336808	-2.8451277131618826	-2.8009151902592486	-3.2186052254502386	1.1171269674440367	27
93	0.4840834675070366	0.7069370280702308	1.5888971220451438	poly	486	-2.8611624678759973	-2.65222834771758	-5.456971280273024	-3.1244044565533415	-3.0820326964444744	-3.4353598497728832	1.0248359568895828	40
94	9.546150305362753	0.3187696472961451	0.03198352691675825	poly	104	-3.0228741458708392	-98.47672618539663	-35629.26644824149	-2.8195965487258188	-5.266451726422071	-7147.770419369581	14240.79534498491	100
95	0.7041413810564995	0.7068168453639314	0.002365984617210505	rbf	103	-2.3056278984016623	-2.2769715881964454	-5.209400278591541	-2.7707809211366854	-2.668763814456	-3.046308900156467	1.0989002244383992	8
96	1.2131812117292209	0.009259722556001338	0.015345581220059966	rbf	464	-3.405294582793802	-3.4427757173336193	-5.46246055856056	-4.0191629434932326	-3.830646998604952	-4.032068160157233	0.7519135778529619	59
97	0.39115433767010166	0.0013082221463512405	8.499388779234472	poly	196	-2.407519225260629	-2.3057713970338454	-5.735418828814935	-2.755797421658737	-2.780171045763668	-3.1969355837063627	1.2829298140107046	22
98	1.7429957884048888	0.001957562417826894	0.010116788061018057	poly	293	-2.5818523884781315	-2.3219592715119126	-5.454696011886904	-2.798821572941421	-2.7214764533581985	-3.1757611396353136	1.1509741439147747	16
99	0.11719005031299837	0.16901627900602584	6.041225804232209	poly	488	-2.7055330335746306	-2.4044452935705376	-5.4361793173540285	-2.9238038092909675	-2.868009560367673	-3.2675942028315674	1.0992324520006835	36
