	param_model_config__model_params__add_norm_dropout	param_model_config__model_params__attn_dropout	param_model_config__model_params__learning_rate	param_model_config__model_params__num_attn_blocks	param_model_config__model_params__num_heads	param_model_config__model_params__transformer_activation	param_selector_estimator_config__n_components	split6_test_score	mean_test_score	std_test_score	rank_test_score
0	0.05732570376904585	0.20223894343927362	0.0007530407234027137	5	2	Tanh	43	-43.57599972446623	-665.1568725932337	1289.8670816418228	7
1	0.12272061406736268	0.056890098256599096	0.0003442531796114806	5	1	LeakyReLU	20	-43.51179066862359	-665.7908546278333	1289.352813595128	9
2	0.056270199529155115	0.08378974384425993	0.0065945786988649505	5	1	LeakyReLU	203	-43.54244746970461	-665.8967023338251	1289.4534891568956	21
3	0.05228117858286003	0.14665196799837857	0.007948020906836665	1	2	Tanh	58	-36.084017060127785	-667.9651556853656	1288.307857424122	55
4	0.25492321441597454	0.06347401571911221	0.0011138460302090533	1	4	LeakyReLU	277	-43.51157973844123	-667.0648574715381	1288.8224420256508	52
5	0.11559857407082302	0.07217280426658156	0.000958366839328984	5	6	Tanh	253	-43.5261242678059	-669.3144976661017	1287.6088149408863	57
6	0.22438661101689097	0.19819560631881775	0.0004246091556540976	1	6	GEGLU	87	-43.50501831483411	-668.0117735310566	1288.3095319788351	56
7	0.08716852832894144	0.08297909866514314	0.006950036417604084	4	2	Tanh	205	-40.258763827936306	-664.6870763284334	1290.0760874367395	4
8	0.2536906169462746	0.06908577875561835	0.003035552481913975	3	4	Tanh	422	-43.54187251303153	-665.9066193149555	1289.4647808269128	37
9	0.15581651703151553	0.12760571300039036	0.0006757280650551235	1	6	GEGLU	127	-43.56825765727937	-670.7672114406561	1286.8214328517142	58
10	0.1782321881015837	0.12793523938465307	0.0024678623195866257	5	6	GEGLU	419	-43.501622544300425	-665.9029198150878	1289.466378321352	34
11	0.0658570582002938	0.15998624713885623	0.0013026479347243666	3	3	Tanh	63	-52.308120415364044	-666.3166427518212	1289.039593586961	48
12	0.11155969858219383	0.1629120605679585	0.0021058120105324164	6	6	LeakyReLU	355	-43.55600131296323	-665.883176433134	1289.4242905042959	15
13	0.053681007822855925	0.059341699807832854	0.003960864043837765	6	6	GEGLU	217	-42.585536896426305	-665.6905717249383	1289.5307057376617	8
14	0.20438746002494537	0.27494980247726336	0.0003280267050763314	1	6	Tanh	234	-43.519449509005526	-665.8877528684928	1289.4683522227836	17
15	0.1138735138733324	0.06089350127219557	0.003962819651860829	3	6	GEGLU	369	-43.521355262725734	-665.8988989379212	1289.460126529851	26
16	0.2098281623847253	0.2689928141740365	0.00012059008988512184	5	2	LeakyReLU	496	-43.55527132433368	-665.9067320539787	1289.4654238999817	38
17	0.06850983999428226	0.10210988405244352	0.004822356140496858	5	4	LeakyReLU	253	-36.36947882326452	-664.5211598643667	1290.1265709062022	3
18	0.12160356215031418	0.11670218116733586	0.0008881153512181743	4	6	LeakyReLU	327	-43.50558813470606	-665.9017331444979	1289.4455426478469	31
19	0.21777563792880114	0.19532858136771092	0.00010334430538642801	5	3	GEGLU	250	-43.55705179057846	-665.9108069141503	1289.4712210939936	42
20	0.13191490724721527	0.14856194427732658	0.004538437823448572	1	4	GEGLU	308	-43.75886513938835	-665.8199520620677	1289.5021215523584	10
21	0.14156540722126018	0.11136561492232509	0.003946052093516697	5	4	Tanh	65	-30.783789992650934	-661.8582626489499	1291.4765736786737	1
22	0.05174600016882265	0.17023520715406262	0.0009466639576437899	3	2	GEGLU	289	-43.567701970566226	-667.2136967715207	1288.737817610528	54
23	0.11977317909271161	0.08010290795815837	0.0011338917149486263	1	2	GEGLU	181	-43.509131322820835	-666.8604683293435	1288.946775990082	51
24	0.11029273991814163	0.18140171753916257	0.004905579491298163	3	3	Tanh	456	-43.569741415820566	-665.886696923006	1289.4676854839154	16
25	0.21261219791184108	0.13388463372028442	0.00021351742219639607	5	2	LeakyReLU	274	-43.564821979751024	-665.9077818204261	1289.4522715718504	39
26	0.2126256790739972	0.05417574923334627	0.00010385633916693987	1	3	LeakyReLU	196	-43.55156162113735	-665.9027222532007	1289.4540304446762	33
27	0.052121345485181395	0.12802105488098917	0.002473955049061457	1	4	GEGLU	425	-43.54564257398058	-665.8970190279158	1289.4616299616257	22
28	0.05106754963488096	0.08546824429097223	0.0001196616145802746	5	6	GEGLU	69	-43.51271068289275	-665.8900291307522	1289.4669515710832	18
29	0.09195899203177987	0.07726535529818784	0.00016394631106893086	5	3	Tanh	196	-43.52442927461354	-665.8926272985609	1289.4639221639222	19
30	0.256538076100726	0.23392336442845585	0.0006277640799061371	2	1	GEGLU	436	-43.573500235642086	-665.9186094677866	1289.4605004956568	44
31	0.08931708185510001	0.1882428993506146	0.00023181472837610013	6	4	GEGLU	81	-43.574745300334826	-665.8335940075951	1289.4927226991801	11
32	0.07135527226444588	0.16037231456739398	0.0010460513080421906	2	3	Tanh	500	-43.545679517297266	-665.8980571363711	1289.4630224677514	24
33	0.19871860916570344	0.10111625887408619	0.008263801952894957	2	1	GEGLU	54	-40.72110104548504	-664.8726426310265	1289.9813141593881	5
34	0.20598551841943166	0.06288163892702031	0.004508047540018606	2	3	LeakyReLU	169	-47.519781388307536	-666.5997837764385	1288.8416523290832	49
35	0.21755356389257885	0.054858860360921975	0.00010085775481428665	6	1	Tanh	266	-43.549702106842915	-665.8975149284415	1289.45827803134	23
36	0.27246818593954103	0.14744519500132722	0.00037597579319873837	5	1	GEGLU	111	-43.62978775338533	-665.947496407691	1289.440319137723	47
37	0.050374092765253946	0.06503283733939594	0.00011839580168259654	1	2	LeakyReLU	203	-43.57755153198884	-665.922635605773	1289.4546479810513	46
38	0.0536793228441009	0.293952425431202	0.004340002555607567	2	2	LeakyReLU	180	-29.362851151480093	-667.2099315785048	1288.7503330639802	53
39	0.07775020212502136	0.1454743322705116	0.00015268968682166715	2	3	LeakyReLU	476	-43.53982385109895	-665.8957210244176	1289.455801318802	20
40	0.1705803248617595	0.21609120310114424	0.0018159351827212056	6	4	Tanh	321	-43.55056403219686	-665.9008484026363	1289.466005793456	29
41	0.2201486943699092	0.1415293833987006	0.00037909287601305255	5	3	Tanh	495	-43.51376881266728	-665.9003663269455	1289.4713207385503	28
42	0.29244459193310357	0.09758908058856622	0.002288427079987082	6	1	LeakyReLU	197	-43.57430115046136	-665.9078569009357	1289.4533645622346	40
43	0.15541879322931873	0.08270605622420167	0.0003489851637847513	4	2	GEGLU	313	-43.53304682983008	-665.9011530818374	1289.4627860776727	30
44	0.08423601598243721	0.1332900423402728	0.0027075799162039876	3	6	Tanh	131	-43.483133001382434	-666.7823596852861	1288.699624959989	50
45	0.055572485040464345	0.14293760026158125	0.001464158353083647	1	3	LeakyReLU	274	-43.532358623344834	-682.0364833160822	1281.0030226644865	60
46	0.07731317698909551	0.18361015675224504	0.008728025123231191	2	6	GEGLU	99	-36.105705785220636	-664.9069017464192	1289.8175946384188	6
47	0.0944294375981367	0.14779009716494684	0.001336416053078736	5	1	LeakyReLU	374	-43.56054272345007	-665.8996643483827	1289.4645724414154	27
48	0.10838265762109543	0.06901969436797403	0.0017143558403491111	6	3	Tanh	194	-43.539272007839664	-665.898260014353	1289.4625225315867	25
49	0.2526470987902411	0.14628942814870796	0.00027750624948811724	2	1	Tanh	310	-43.54624194366019	-665.9099432367144	1289.457321353396	41
50	0.12928555034491396	0.054021015475154595	0.007276279205743476	3	6	LeakyReLU	124	-40.401548387389	-672.5212216056941	1285.6763297635434	59
51	0.2427468393464612	0.08143835907086547	0.0003567402177205784	1	3	LeakyReLU	369	-43.55088496830672	-665.9063962996344	1289.4668928456535	36
52	0.1727657137931548	0.07114002330625877	0.00013671782122469321	5	2	LeakyReLU	69	-43.58204990963348	-665.9196499481304	1289.4656831395932	45
53	0.10078831044764154	0.2548315776529302	0.00029663564299463844	3	6	LeakyReLU	421	-43.56551136256009	-665.9020893715774	1289.475014822746	32
54	0.05446842149523818	0.10046606163025128	0.001197053060554653	5	2	GEGLU	193	-43.54879990852774	-665.8729822235292	1289.450031253664	13
55	0.23782300466147496	0.19178926479270852	0.00016541948578448982	4	1	GEGLU	426	-43.565067562893624	-665.9123833463353	1289.4508476369062	43
56	0.08537091961763082	0.11942379277155181	0.0010235445128347802	3	3	LeakyReLU	186	-43.53528405396777	-665.8659103454654	1289.4811441943596	12
57	0.07960779136094968	0.05519097038698975	0.0006242539916968565	6	6	Tanh	194	-43.537325396259035	-665.9044369263962	1289.460433711256	35
58	0.09724862342762067	0.12934284386292394	0.0023360441406204465	5	1	LeakyReLU	142	-28.782713915078585	-662.2267421334557	1291.4215949737118	2
59	0.053622085396877156	0.2070282885674118	0.00012703219146086256	4	3	GEGLU	352	-43.53276084516334	-665.878739012808	1289.4589091265984	14
